"player_name";"shot_distance";"intentos";"aciertos";"fgp"
"Stephen Curry";2;453;244;0.538631346578366
"Stephen Curry";3;158;64;0.40506329113924
"Stephen Curry";4;112;46;0.410714285714286
"Stephen Curry";5;77;28;0.363636363636364
"Stephen Curry";6;74;36;0.486486486486487
"Stephen Curry";7;79;28;0.354430379746835
"Stephen Curry";8;74;29;0.391891891891892
"Stephen Curry";9;88;34;0.386363636363636
"Stephen Curry";10;87;39;0.448275862068966
"Stephen Curry";11;77;37;0.480519480519481
"Stephen Curry";12;86;46;0.534883720930233
"Stephen Curry";13;73;33;0.452054794520548
"Stephen Curry";14;86;44;0.511627906976744
"Stephen Curry";15;100;44;0.44
"Stephen Curry";16;158;83;0.525316455696203
"Stephen Curry";17;170;79;0.464705882352941
"Stephen Curry";18;227;108;0.475770925110132
"Stephen Curry";19;268;109;0.406716417910448
"Stephen Curry";20;190;91;0.478947368421053
"Stephen Curry";21;168;71;0.422619047619048
"Stephen Curry";22;212;102;0.481132075471698
"Stephen Curry";23;355;169;0.476056338028169
"Stephen Curry";24;649;304;0.468412942989214
"Stephen Curry";25;1012;439;0.433794466403162
"Stephen Curry";26;786;329;0.418575063613232
"Stephen Curry";27;370;163;0.440540540540541
"Stephen Curry";28;143;68;0.475524475524476
"Stephen Curry";29;83;30;0.36144578313253
"Tony Parker";0;342;226;0.660818713450292
"Tony Parker";1;637;433;0.679748822605965
"Tony Parker";2;462;258;0.558441558441558
"Tony Parker";3;197;86;0.436548223350254
"Tony Parker";4;124;59;0.475806451612903
"Tony Parker";5;155;64;0.412903225806452
"Tony Parker";6;179;94;0.525139664804469
"Tony Parker";7;156;70;0.448717948717949
"Tony Parker";8;137;62;0.452554744525547
"Tony Parker";9;137;61;0.445255474452555
"Tony Parker";10;87;36;0.413793103448276
"Tony Parker";11;97;42;0.43298969072165
"Tony Parker";12;73;31;0.424657534246575
"Tony Parker";13;91;38;0.417582417582418
"Tony Parker";14;123;55;0.447154471544715
"Tony Parker";15;171;79;0.461988304093567
"Tony Parker";16;261;115;0.440613026819923
"Tony Parker";17;261;108;0.413793103448276
"Tony Parker";18;284;121;0.426056338028169
"Tony Parker";19;232;108;0.46551724137931
"Tony Parker";20;161;69;0.428571428571429
"Tony Parker";21;63;31;0.492063492063492
"Tony Parker";22;100;36;0.36
"Tony Parker";23;154;63;0.409090909090909
"Tony Parker";24;100;37;0.37
"Tony Parker";25;58;16;0.275862068965517
